id,coordinates/0,coordinates/1,status
LINK-000951,-73.98131051,40.78032124,active
LINK-000952,-73.98117276,40.78082575,active
LINK-000954,-73.98157091,40.78081899,active
LINK-000955,-73.98152267,40.78099279,active
LINK-000957,-73.980961,40.781474,active
LINK-000958,-73.98080903,40.78170535,active
LINK-000959,-73.98083572,40.78185329,active
LINK-000960,-73.981184,40.781984,active
LINK-000962,-73.9804764,40.78228509,installed
LINK-000963,-73.98058629,40.78252808,active
LINK-000966,-73.98070878,40.78312136,active
LINK-000967,-73.9808485,40.78325962,active
LINK-000968,-73.980253,40.783191,active
LINK-000969,-73.980123,40.783373,active
LINK-000970,-73.97975218,40.78364875,active
LINK-000971,-73.979708,40.78392,active
LINK-000972,-73.979996,40.784128,active
LINK-000973,-73.9797962,40.78442303,installed
LINK-000974,-73.97977572,40.78460807,active
LINK-000975,-73.979564,40.784712,active
LINK-000976,-73.979224,40.784564,active
LINK-000978,-73.97880715,40.78502125,active
LINK-000979,-73.97863267,40.78506849,active
LINK-000981,-73.97924562,40.78513453,active
LINK-000983,-73.97878535,40.78575329,active
LINK-000985,-73.97829312,40.78581305,active
LINK-000986,-73.97843851,40.78561298,active
LINK-000987,-73.97799347,40.78622273,active
LINK-000989,-73.977698,40.786207,active
LINK-000990,-73.97776529,40.78651948,active
LINK-000991,-73.9783,40.786403,active
LINK-000992,-73.977832,40.787028,active
LINK-000994,-73.97764565,40.78724687,active
LINK-000995,-73.97748309,40.78689604,active
LINK-000997,-73.97655103,40.78800168,active
LINK-001006,-73.926847,40.819886,active
LINK-001009,-73.99218679,40.69934194,active
LINK-001010,-73.99302857,40.69758777,active
LINK-001011,-73.99126379,40.69607044,active
LINK-001017,-73.98638427,40.69123398,active
LINK-001032,-73.984481,40.690588,active
LINK-001043,-73.997387,40.660871,active
LINK-001045,-73.998822,40.659902,active
LINK-001046,-73.99898564,40.65974544,active
LINK-001048,-74.002446,40.656011,active
LINK-001049,-74.00525819,40.65371111,active
LINK-001059,-73.992259,40.662588,active
LINK-001076,-73.96286903,40.673692,active
LINK-001078,-73.960581,40.660852,active
LINK-001080,-73.960426,40.658911,active
LINK-001087,-73.94651287,40.65102676,active
LINK-001089,-73.9439693,40.65104682,active
LINK-001091,-73.940166,40.651341,active
LINK-001108,-73.8362804,40.69756287,active
LINK-001109,-73.83383439,40.69889972,active
LINK-001111,-73.83160899,40.69975447,active
LINK-001112,-73.8311312,40.69988783,active
LINK-001113,-73.83093211,40.69984112,active
LINK-001114,-73.8309137,40.70015865,active
LINK-001115,-73.82655102,40.70086445,active
LINK-001116,-73.82620488,40.70092643,active
LINK-001117,-73.824719,40.70104,active
LINK-001122,-73.82980897,40.71316697,active
LINK-001123,-73.836262,40.717664,active
LINK-001125,-73.839741,40.719293,active
LINK-001129,-73.84488371,40.72152582,active
LINK-001130,-73.852197,40.726082,active
LINK-001131,-73.85251864,40.72624127,active
LINK-001134,-73.858076,40.728299,active
LINK-001140,-73.87470458,40.73454516,active
LINK-001141,-73.87546,40.734923,active
LINK-001144,-73.88093968,40.73720596,active
LINK-001147,-73.886253,40.738208,active
LINK-001149,-73.904656,40.741288,active
LINK-001152,-73.91854,40.742912,active
LINK-001154,-73.9206815,40.74306271,active
LINK-001155,-73.921257,40.743221,active
LINK-001159,-73.926455,40.743823,active
LINK-001160,-73.92692611,40.74387741,active
LINK-001161,-73.927772,40.743976,active
LINK-001194,-73.929829,40.744151,active
LINK-001195,-73.930399,40.744278,active
LINK-001290,-73.9516172,40.74318379,active
LINK-001353,-73.89719293,40.86732884,active
LINK-001354,-73.89764488,40.86737055,active
LINK-001355,-73.929992,40.75191,active
LINK-001356,-73.927493,40.751953,active
LINK-001357,-73.91232033,40.75336987,active
LINK-001359,-73.90009406,40.75391039,active
LINK-001362,-73.893639,40.754507,active
LINK-001363,-73.915848,40.839445,active
